name,real_name,full_name,alignment,creator,intelligence_score,strength_score,speed_score,durability_score,power_score,combat_score,avg_stats
Morbius,Michael Morbius,Dr. Michael Morbius,Good,Marvel Comics,100,20,50,60,100,65,66
Morlun,Morlun,Morlun,Bad,Marvel Comics,80,60,35,40,75,55,58
Morro,Morro,Unknown,Neutral,Lego,100,50,80,100,100,90,87
Morty Smith,Morty Smith,,Good,Cartoon Network,65,10,25,40,70,40,42
Moses Magnum,Moses Magnum,Moses Magnum,Bad,Marvel Comics,90,30,10,40,55,55,47
Mr Incredible,Robert Parr,Robert Parr,Good,Dark Horse Comics,75,85,35,95,30,40,60
Mr.Krabs,Eugene Krabs,Eugene Harold Krabs,Neutral,,95,55,10,100,55,75,65
Ms. America,America Chavez,,Good,Marvel Comics,95,50,70,85,100,85,81
Ms Marvel II,Sharon Ventura,Sharon Ventura,Good,Marvel Comics,70,65,25,85,10,55,52
Multiple Man,James Arthur,James Arthur,Good,Marvel Comics,80,10,25,70,30,60,46
Music Meister (CW),Unknown,Unknown,Neutral,DC Comics,100,10,25,20,100,60,53
Mysterio,Quentin Beck,Quentin Beck,Bad,Marvel Comics,90,10,15,40,80,70,51
Mystique (FOX),Raven Darkhölme,,Bad,Marvel Comics,95,25,50,50,95,100,69
Mystique,Raven Darkholme,Raven Darkholme,Bad,Marvel Comics,85,20,50,50,75,90,62
Nadakhan,Nadakhan The Djinn,Nadakhan,Bad,,95,75,85,100,100,75,88
Nagato Uzumaki,Nagato Uzumaki,,Neutral,Shueisha,70,55,50,80,100,70,71
Namor,Namor McKenzie,Namor McKenzie,Good,Marvel Comics,85,95,60,70,75,85,78
Neron,,,Bad,DC Comics,95,100,90,100,100,90,96
Namora,Aquaria Nautica Neptunia,Aquaria Nautica Neptunia,Good,Marvel Comics,75,85,40,40,50,65,59
Namorita,Namorita Prentiss,Namorita Prentiss,Good,Marvel Comics,75,70,45,70,35,70,61
Naruto Uzumaki,Uzumaki Naruto,Uzumaki Naruto,Good,Shueisha,70,100,100,100,100,100,95
Nathan Petrelli,Nathan Petrelli,Nathan Petrelli,Good,NBC - Heroes,0,0,0,0,0,0,0
Neuro,Neuro,Neuro,Good,,100,10,20,20,100,70,53
Nebula (MCU),Nebula,,Neutral,Marvel Comics,85,20,50,55,100,100,68
Negasonic Teenage Warhead (FOX,Ellie Phimister,Ellie Phimister,Good,Marvel Comics,80,10,25,15,55,55,40
Negasonic Teenage Warhead,Ellie Phimister,,Good,Marvel Comics,75,5,10,10,45,35,30
Neji,Neji Hyuga,,Good,Shueisha,90,10,60,35,65,100,60
Nekron,Nekron,Nekron,Bad,DC Comics,90,100,75,95,100,100,93
Nick Fury,Nicholas Joseph Fury,Nicholas Joseph Fury,Good,Marvel Comics,90,10,25,40,25,100,48
Night King,,,Bad,George R. R. Martin,85,35,30,90,100,85,71
Night Thrasher,Dwayne Taylor,Dwayne Taylor,Good,Marvel Comics,0,0,0,0,0,0,0
Nightcrawler (FOX),Kurt Wagner,Kurt Wagner,Good,Marvel Comics,70,10,60,20,75,85,53
Nightcrawler,Kurt Wagner,Kurt Wagner,Good,Marvel Comics,75,10,45,15,75,80,50
Nighthawk,Kyle Richmond,Kyle Richmond,Good,Marvel Comics,0,0,0,0,0,0,0
Nightshade,Eve Eden,,Neutral,DC Comics,85,10,35,65,100,65,60
Nightwing (Arkham),Dick Grayson,Richard Dick John Grayson,Good,DC Comics,90,20,80,45,50,95,63
Nightwing (New 52),Dick Grayson,Richard John Grayson,,DC Comics,85,10,55,45,40,95,55
Niki Sanders,Nicole Sanders,Nicole Sanders,Good,NBC - Heroes,80,50,35,30,35,55,48
Nina Theroux,,,Good,SyFy,80,5,10,10,70,20,33
Nite Owl II,Daniel Dreiberg,Daniel Dreiberg,Good,DC Comics,85,25,40,40,60,80,55
Nobu (MCU),Nobu Yoshioka,Nobu Yoshioka,Bad,Marvel Comics,80,15,50,50,60,100,59
Nomad (MCU),Steve Rogers,Steven Grant Rogers,Good,Marvel Comics,90,35,60,65,65,100,69
Nora Darhk (CW),Eleanor Darhk,Eleanor Darhk,Neutral,,80,10,25,30,100,80,54
Northstar,Jean-Paul Beaubier,Jean-Paul Beaubier,Good,Marvel Comics,75,20,85,55,65,70,62
Nuckal,Nuckal,None,Bad,,10,10,10,100,100,55,48
Overtkill,Nicholas Rocca,Nicholas Rocca,Bad,Image Comics,0,0,0,0,5,0,1
Nya (The LEGO Ninjago Movie),Nya,Nya,Good,Lego,95,10,20,15,80,70,48
Nya (Water Ninja),Nya,Nya,Good,,100,15,40,45,100,100,67
Nyssa Al Ghul (CW),Nyssa Raatko,Nyssa Raatko,Good,,85,15,50,40,50,100,57
Nyssa Raatko,,,Bad,DC Comics,85,15,20,25,30,100,46
Obito Uchiha,Uchiha Obito,Uchiha Obito,Bad,Shueisha,85,100,90,100,100,100,96
Ocean Master (DCEU),Orm Marius,Orm Curry Marius,Bad,DC Comics,85,50,85,80,85,90,79
Ocean Master,Orm Curry Marius,,Bad,DC Comics,90,75,70,75,100,80,82
Offspring,Luke O'Brian,Luke O'Brian,Good,DC Comics,75,10,35,100,100,55,63
Old King Thor,Thor Odinson,Thor Odinson,Good,Marvel Comics,100,100,100,100,100,100,100
Old Man Logan (FOX),James Howlett,James Howlett,Good,Marvel Comics,85,30,35,75,75,95,66
Paul Blart,Paul Blart,,Good,Sony Pictures,45,10,20,50,5,5,23
Omac,O.M.A.C. Prime,O.M.A.C. Prime,Bad,DC Comics,100,100,85,90,100,100,96
Omega Red,Arkady Gregorivich,Arkady Gregorivich,Bad,Marvel Comics,75,40,60,75,80,90,70
Omega,The Omega,Omega,Bad,Marvel Comics,80,100,80,85,100,90,89
Omni-Man,Nolan Grayson,Nolan Grayson,Good,Image Comics,90,100,100,100,100,90,97
Omniscient,Omniscient is the closest English word that compares to his alien tongue.,Omniscient is the closest English word that compares to his alien tongue.,Good,Team Epic TV,0,0,0,0,50,0,8
One-Above-All,The One-Above-All,The One-Above-All,Neutral,Marvel Comics,100,100,100,100,100,100,100
One Punch Man,Saitama,,Good,Shueisha,60,100,95,100,65,65,81
Onslaught,Onslaught,Onslaught,Bad,Marvel Comics,95,100,85,100,100,75,93
Oracle,Barbara Gordon,Barbara Gordon,Good,DC Comics,90,10,20,25,20,75,40
Orochimaru,,,Bad,Shueisha,100,80,60,65,100,100,84
Owlman,Thomas Wayne Jr.,,Bad,DC Comics,100,15,30,50,55,95,58
Pandora,Pandora,,Neutral,DC Comics,95,10,60,80,100,100,74
Parademon,,,Bad,DC Comics,55,30,15,50,55,25,38
Parasite (CW),Rudy Jones,Rudy Jones,Bad,,85,80,60,95,90,70,80
Parasite,Rudolph C. Jones,,Bad,DC Comics,70,50,20,50,95,80,61
Peggy Carter (MCU),Margaret Carter,Margaret Elizabeth Carter,Good,Marvel Comics,95,10,35,40,35,95,52
Penance II,Robert Baldwin,Robert Baldwin,Good,Marvel Comics,90,20,50,50,25,55,48
Penguin,Oswald Cobblepot,Oswald Chesterfield Cobblepot,Bad,DC Comics,95,10,15,35,45,45,41
Penny,William Adiyodi,,Good,SyFy,90,10,10,10,100,45,44
Percy Jackson (FOX),,Perseus Jackson,Good,,80,40,70,70,100,85,74
Percy Jackson,Percy Jackson,Perseus Jackson,Good,,90,80,80,100,100,100,92
Peter Petrelli,Peter Petrelli,Peter Petrelli,Good,NBC - Heroes,70,55,100,100,100,95,87
Phantom Girl,Tinya Wazzo,Tinya Wazzo,Good,DC Comics,70,10,25,30,55,40,38
Phantom Lady,Stormy Knight,,Good,DC Comics,100,10,30,35,70,100,58
Phantom Rider,Carter Slade,,Good,Marvel Comics,90,10,35,40,55,75,51
Pied Piper (CW),Hartley Rathaway,Hartley Rathaway,Good,DC Comics,100,10,20,15,55,65,44
Pinhead,Elliott Spencer,,Bad,Clive Barker,90,30,15,80,100,25,57
Piper McLean,Piper McLean,,,,95,65,85,80,100,90,86
P.I.X.A.L.,Primary Interactive X-ternal,Primary Interactive X-ternal Assistant Life-form,Good,,100,10,10,25,100,80,54
Plantman,Samuel Smithers,,Bad,Marvel Comics,80,60,25,55,60,25,51
Plastic Man,Patrick O'Brian,Patrick O'Brian,Good,DC Comics,75,65,25,100,100,55,70
Plastique,Bette Sans Souci,Bette Sans Souci,Bad,DC Comics,75,10,25,30,60,40,40
Platinum,Platinum,,Good,DC Comics,95,20,20,70,50,50,51
Poison Ivy (Arkham),Pamela Isley,Pamela Lillian Isley,Bad,DC Comics,95,15,55,70,100,75,68
Poison Ivy (New 52),Pamela Isley,Pamela Lillian Isley,Bad,DC Comics,95,30,30,30,100,100,64
Poison Ivy,Pamela Isley,Pamela Lillian Isley,Bad,DC Comics,90,15,30,70,100,70,63
Polaris (Fox),Lorna Dane,Lorna Dane,Good,Marvel Comics,80,10,30,25,100,70,53
Polaris,Lorna Dane,Lorna Sally Dane,Good,Marvel Comics,80,75,40,50,100,45,65
Portal,Charles Little Sky,Charles Little Sky,Good,Marvel Comics,0,0,0,0,0,0,0
Professor Dumbledore,Albus Dumbledore,Albus Percival Wulfric Brian Dumbledore,Good,J. K. Rowling,100,5,65,65,100,90,71
Power Girl (New 52),Kara Zor-L,,Good,DC Comics,95,100,90,100,75,80,90
Power Girl,Kara Zor-L,Kara Zor-L,Good,DC Comics,95,100,100,100,100,75,95
Power Ring,Harold Jordan,,Bad,DC Comics,90,100,100,100,100,70,93
Powerboy,,,Good,DC Comics,85,65,60,75,100,85,78
Predator,Yautja,Yautja,Bad,Dark Horse Comics,80,30,25,85,100,90,68
Preeminent,The Preeminent,The Preeminent,Bad,,70,100,50,100,100,25,74
Professor Severus Snape,Severus Snape,,Good,J. K. Rowling,100,5,20,20,100,90,56
Professor X (FOX),Charles Francis Xavier,Charles Francis Xavier,Good,Marvel Comics,100,10,10,15,100,60,49
Professor X,Charles Francis Xavier,Charles Francis Xavier,Good,Marvel Comics,100,10,10,15,100,30,44
Professor Zoom,Eobard Thawne,Eobard Thawne,Bad,DC Comics,95,10,100,20,85,20,55
Prometheus (CW),Adrian Chase,Simon Morrison,Bad,DC Comics,100,15,45,50,50,100,60
Proto-Goblin,Nels Van Adder,Nels Van Adder,Bad,Marvel Comics,80,40,25,50,20,30,41
Proxima Midnight (MCU),Proxima Midnight,Proxima Midnight,Bad,Marvel Comics,75,55,65,65,70,95,71
Proxima Midnight,,,,Marvel Comics,90,85,70,80,100,95,87
Psimon,Simon Jones,,Bad,DC Comics,95,30,40,35,100,65,61
Psylocke,Elizabeth Braddock,Elizabeth Braddock,Good,Marvel Comics,80,35,25,40,100,90,62
Puck,Eugene Milton Judd,Eugene Milton Judd,Good,Marvel Comics,85,50,65,90,100,100,82
Puma,Thomas Fireheart,Thomas Fireheart,Bad,Marvel Comics,0,0,0,0,0,0,0
Punisher,Frank Castle,Francis Castiglione,Good,Marvel Comics,85,15,20,45,40,100,51
Purple Man,Zebediah Killgrave,Zebediah Killgrave,Bad,Marvel Comics,80,10,10,30,90,10,38
Pyro (FOX),St. John Allerdyce,,Bad,Marvel Comics,75,10,15,15,45,30,32
Pyro,St. John Allerdyce,St. John Allerdyce,Bad,Marvel Comics,70,10,10,15,55,30,32
Pythor,Pythor,Pythor P. Chumsworth,Bad,,95,45,70,55,100,65,72
Quake (MCU),Daisy Johnson,Daisy Johnson,Good,Marvel Comics,100,30,55,65,60,50,60
Quake,Daisy Johnson,Daisy Louise Johnson,Good,Marvel Comics,90,40,50,45,80,90,66
Quantum,,,Good,HarperCollins,0,0,0,0,0,0,0
Queen Hippolyta,Hippolyta,Hippolyta,Good,DC Comics,100,55,55,65,100,100,79
Question,Charles Szasz,Charles Victor Szasz,Good,DC Comics,95,10,25,35,25,85,46
Qui-Gon Jinn,,,Good,George Lucas,90,55,35,45,100,100,71
Quicksilver,Pietro Django Maximoff,Pietro Django Maximoff,Good,Marvel Comics,80,30,100,60,80,55,68
Quill,Maxwell Jordan,Maxwell Jordan,Good,Marvel Comics,70,10,10,15,25,15,24
Rachel Pirzad,,,Good,SyFy,80,5,10,10,50,10,28
Ragman (CW),Rory Regan,Rory Regan,Good,DC Comics,75,30,35,90,75,70,63
Ragnarok,Ragnarok,/,Neutral,Marvel Comics,100,100,100,100,100,100,100
Raiden,Jack,Jack,Good,,100,85,65,50,100,100,83
Rainbow Rider,Roy G. Bivolo,,Bad,DC Comics,90,10,70,35,25,45,46
Rambo,John Rambo,John J. Rambo,Good,,80,15,25,30,30,100,47
Raphael (TMNT 2012),Raphael,Raphael,Good,,80,15,35,65,45,100,57
Ra's Al Ghul (CW),Unknown,Unknown,Bad,DC Comics,90,20,50,50,60,100,62
Razor-Fist II,Douglas Scott,Douglas Scott,Bad,Marvel Comics,0,0,0,0,5,0,1
Ra's Al Ghul (Dark Knight),Ra's Al Ghul,Ra's Al Ghul,Neutral,DC Comics,95,10,30,40,30,100,51
Ra's Al Ghul,Ra's Al Ghul,Ra's Al Ghul,Bad,DC Comics,100,30,30,40,25,100,54
Raven (Titans),Rachel Roth,Rachel Roth,Good,DC Comics,70,10,30,30,100,50,48
Rawhide Kid,Johnny Bart,,Good,Marvel Comics,90,10,30,20,15,65,38
Ray,Ray,Ray,Good,Lego,90,15,25,30,85,100,58
Reactron,Ben Krullen,Benjamin K. Krullen,Bad,DC Comics,0,0,0,0,20,0,3
Red Arrow,Roy Harper,"Roy William Harper, Jr.",Good,DC Comics,80,15,25,20,25,80,41
Red Death,Bruce Wayne,,Bad,DC Comics,100,50,100,60,100,60,78
Red Hood (New 52),Jason Todd,Jason Peter Todd,Neutral,DC Comics,90,15,30,45,40,100,53
Red Hulk (Ghost Rider) (Venom),Thaddeus Ross,Thaddeus E. Ross,Neutral,Marvel Comics,75,100,100,100,100,75,92
Red Hulk,Thaddeus E. Ross,Thaddeus E. Ross,Neutral,Marvel Comics,75,100,45,85,80,75,77
Red Mist,Chris Genovese,Chris Genovese,Bad,Icon Comics,65,10,25,15,20,55,32
Red Robin,Tim Drake,Timothy Jackson Drake,Good,DC Comics,90,10,25,30,30,80,44
Red Skull (MCU),Johann Shmidt,,Bad,Marvel Comics,95,45,40,40,95,65,63
Red Skull,Johann Shmidt,Johann Shmidt,Bad,Marvel Comics,90,10,10,15,20,80,38
Reign,,,Bad,DC Comics,75,100,95,90,90,85,89
Red Sonja,Sonja,,,Marvel Comics,80,10,30,40,30,100,48
Red Tornado (CW),,,,DC Comics,100,100,100,90,70,70,88
Red Tornado,Lois Lane,,Good,DC Comics,100,100,100,85,100,70,93
Red Wolf,William Talltrees,,,Marvel Comics,90,35,25,50,55,50,51
Redeemer II,Phil Timper,Phil Timper,Bad,Image Comics,0,0,0,0,30,0,5
Redeemer III,Eddie Frank,Eddie Frank,Bad,Image Comics,0,0,0,0,5,0,1
Renata Soliz,,,Good,HarperCollins,0,0,0,0,0,0,0
Resurrection Spawn,Al Simmons,Albert Francis Simmons,Good,Image Comics,75,80,75,100,100,100,88
Rev-9,Terminator,,Bad,Dark Horse Comics,0,0,0,0,0,0,0
Reverse Flash (CW),Eobard Thawne,,Bad,DC Comics,95,30,80,65,100,75,74
Reverse Flash (New 52),Daniel West,,Good,DC Comics,95,35,100,80,100,90,83
Rey,Rey,Rey Palpatine,Good,George Lucas,65,35,25,25,100,70,53
Rhino,Aleksei Mikhailovich Sytsevich,Aleksei Mikhailovich Sytsevich,Bad,Marvel Comics,65,80,45,90,35,85,67
Rick Flag,Richard Rogers Flag,Richard Rogers Flag,Bad,DC Comics,95,10,25,30,20,95,46
Rick Sanchez,Rick Sanchez,Rick Sanchez,Neutral,Cartoon Network,100,10,20,55,100,80,61
Rictor,,,Good,Marvel Comics,0,0,0,0,0,0,0
Riddler,Edward Nigma,Edward Nigma,Bad,DC Comics,100,10,10,15,10,15,27
Riot (SONY),Carlton Drake,,Bad,Marvel Comics,80,70,60,90,100,85,81
Rip Hunter,Richard Hunter,,Good,DC Comics,100,10,10,10,100,25,43
Ripcord,Miranda Leevald,Miranda Leevald,Good,Marvel Comics,0,0,0,0,0,0,0
Robin II,Jason Todd,Jason Peter Todd,Good,DC Comics,90,10,25,30,30,85,45
Robin III (Arkham),Tim Drake,Timothy Jackson Drake,Good,DC Comics,95,10,30,30,35,85,48
Robin III,Tim Drake,Timothy Jackson Drake,Good,DC Comics,90,10,25,30,30,85,45
Robin (Titans),Jason Todd,Jason Todd,Good,DC Comics,80,10,45,45,40,100,53
Robin V,Damian Wayne,Damian Wayne,Good,DC Comics,85,10,35,15,30,65,40
Robin VI,Carrie Kelley,Carrie Kelley,Neutral,DC Comics,75,10,25,20,15,70,36
Robin,Dick Grayson,Richard John Grayson,Good,DC Comics,95,10,25,30,30,85,46
Robocop,Alex Murphy,Alexander James Murphy,Good,,90,30,15,80,55,50,53
Robotman,Clifford Steele,Clifford Cliff Steele,,DC Comics,100,50,50,55,65,60,63
Rock Lee,Rock Lee,,Good,Shueisha,70,90,50,70,75,100,76
Rocket Raccoon (MCU),Rocket Raccoon,,Good,Marvel Comics,95,15,60,45,45,80,57
Rocket Raccoon,Rocket Raccoon,Rocket Raccoon,Good,Marvel Comics,75,5,25,30,30,65,38
Rocket,Raquel Ervin,,,DC Comics,80,30,35,65,65,85,60
Ronin,Clint Barton,Clinton Francis Barton,Good,Marvel Comics,80,10,20,10,15,80,36
Rogue (FOX),Anna Marie,Marie D'Ancanto,Good,Marvel Comics,90,20,45,45,90,85,63
Rogue,Anna Marie,Anna Marie,Good,Marvel Comics,90,10,10,30,80,80,50
Ronan The Accuser (MCU),Ronan,,,Marvel Comics,80,70,60,70,90,95,78
Ronin (MCU),Clint Barton,Clinton Francis Barton,Good,Marvel Comics,90,15,40,40,45,95,54
Ronin (Ninjago),Ronin,Ronin,Neutral,Lego,100,10,20,15,75,100,53
Shadow Lass,Tasmia Mallor,,Good,DC Comics,80,10,65,20,80,80,56
Rorschach,Walter Joseph Kovacs,Walter Joseph Kovacs,Good,DC Comics,90,10,30,20,25,80,43
Ruby Thursday,Thursday Rubinstein,Thursday Rubinstein,Bad,Marvel Comics,0,0,0,0,0,0,0
Sabretooth (FOX),Victor Creed,,Bad,Marvel Comics,80,70,65,90,100,90,83
Sabretooth,Victor Creed,Victor Creed,Bad,Marvel Comics,80,50,40,90,50,100,68
Sage,Tessa,Tessa,Good,Marvel Comics,90,10,10,15,30,55,35
Sai,,Sai Yamanaka,Good,Shueisha,70,30,60,50,95,95,67
Saint Of Killers,,,Bad,DC Comics,90,20,20,100,100,90,70
Sakura Haruno,Haruno Sakura,Haruno Sakura,Good,Shueisha,70,100,100,75,100,100,91
Sam Winchester,Sam Winchester,Samuel Winchester,Good,Wildstorm,90,15,25,50,40,85,51
Samukai,Samukai,Samukai,Bad,,50,65,40,60,100,80,66
Spider-Man (Raimi Trilogy),Peter Parker,Peter Benjamin Parker,Good,Sony Pictures,80,55,60,40,70,40,58
Samurai Mech(Stone Army),Garmadon,Garmadon,Bad,,100,45,45,60,100,80,72
Samurai X,Primary Interactive X-ternal,Primary Interactive X-ternal,Good,,100,30,20,25,100,100,63
Sandman (SONY),Flint Marko,Flint Marko,Neutral,Marvel Comics,70,75,70,95,100,70,80
Sandman,Wesley Dodds,Wesley Bernard Dodds,Good,DC Comics,90,40,35,45,65,95,62
Sarab (CW),Maseo Yamashiro,Maseo Yamashiro,Neutral,,80,15,45,45,40,100,54
Sasquatch,Walter Langkowski,Walter Langkowski,Good,Marvel Comics,90,80,25,55,15,40,51
Sasuke Uchiha,Uchiha Sasuke,Uchiha Sasuke,Good,Shueisha,75,100,100,100,100,100,96
Saturn Girl (CW),Imra Ardeen,Imra Ardeen,Good,DC Comics,80,35,30,40,90,75,58
Savage Dragon,Kurr,Kurr,Good,Image Comics,80,70,55,85,65,70,71
Scarlet Spider II,Kaine Parker,Kaine Parker,Good,Marvel Comics,95,55,60,40,35,55,57
Scorpia,Elaine Coll,Elaine Coll,Bad,Marvel Comics,70,30,40,30,35,30,39
Scorpion (injustice),Hanzo Hasashi,,,Mortal Kombat,90,30,80,65,100,100,78
Sharon Carter,Sharon Carter,Sharon Carter,Good,Marvel Comics,95,10,20,40,55,60,47
Scorpion,Hanzo Hasashi,,Neutral,Mortal Kombat,90,10,60,60,100,100,70
Screaming Mimi,,,Good,Marvel Comics,0,0,0,0,0,0,0
Sea King,Unknown,,Bad,DC Comics,95,75,80,80,100,100,88
Sebastian Shaw (FOX),Sebastian Hiram Shaw,Sebastian Hiram Shaw,Bad,Marvel Comics,100,75,25,90,85,50,71
Selene,Selene,,Good,IDW Publishing,75,85,65,75,100,85,81
Sensei Garmadon,Garmadon,Garmadon,Good,,100,30,35,40,55,95,59
Sensei Yang,Kodokuna Yang,Kodukuna Yang,Neutral,,100,40,35,85,100,100,77
Sentry,Robert Reynolds,Robert Reynolds,Good,Marvel Comics,90,100,100,100,100,45,89
Shade,Shade,Shade,Good,,85,10,45,60,100,95,66
Shades (MCU),Herman Enrique Salazar Alvarez,Herman Enrique Salazar Alvarez,Bad,Marvel Comics,90,20,30,40,35,85,50
Shadow King,Amahl Farouk,Amahl Farouk,Good,Marvel Comics,90,10,25,100,100,75,67
Shadow The Hedgehog (Pre-Wave),Shadow The Hedgehog,Shadow The Hedgehog,Neutral,,75,100,100,100,100,50,88
Shadowcat (FOX),Katherine Anne Pryde,,Good,Marvel Comics,100,20,45,55,45,90,59
Shadowcat,Kitty Pryde,Katherine Pryde,Good,Marvel Comics,95,10,20,25,70,70,48
Shang-Chi,Shang-Chi,Shang-Chi,Good,Marvel Comics,80,10,30,50,30,100,50
Shao Kahn,Shao Kahn,Shao Kahn,Bad,Mortal Kombat,50,50,75,75,100,95,74
Shatterstar,Gaveedra Seven,Gaveedra Seven,Good,Marvel Comics,80,50,45,65,50,85,63
Shazam (DCEU),Billy Batson,William Batson,Good,DC Comics,100,100,100,100,95,95,98
Shazam,Billy Batson,William Joseph Batson,Good,DC Comics,95,100,90,95,100,75,93
She-Hulk,Jennifer Walters,Jennifer Walters,Good,Marvel Comics,85,100,80,100,100,80,91
Sherlock Holmes,Sherlock Holmes,Sherlock Holmes,Good,Dark Horse Comics,100,35,30,35,75,85,60
Shikamaru,Shikamaru Nara,,Good,Shueisha,100,10,50,75,85,100,70
Shin Godzilla,Gojira,,Neutral,,75,100,65,100,100,20,77
Shisui Uchiha,Uchiha Shisui,Uchiha Shisui,Neutral,Shueisha,90,15,85,60,100,100,75
Shocker,Herman Schultz,Herman Schultz,Bad,Marvel Comics,80,10,25,70,80,55,53
Shriek,Frances Louise Barrison,Frances Louise Barrison,Good,Marvel Comics,75,10,25,30,50,40,38
The Lizard (SONY),Curtis Connors,,Bad,Marvel Comics,90,85,75,85,65,80,80
Shuri (MCU),Shuri,,Good,Marvel Comics,90,10,45,100,40,95,63
Sif (MCU),Sif,,Good,Marvel Comics,90,95,70,85,100,90,88
Sif,Sif,Sif,Good,Marvel Comics,80,90,65,80,100,70,81
Silk Spectre II,Laurel Juspeczyk,Laurel Juspeczyk,Good,DC Comics,75,35,45,35,60,95,58
Silk Spectre,Sally Juspeczyk,Sally Juspeczyk,Good,DC Comics,75,25,45,40,25,90,50
Silk,Cindy Moon,,Good,Marvel Comics,90,50,70,70,70,65,69
Silver Banshee (CW),Siobhan Smythe,Siobhan Smythe,Bad,,75,30,30,20,60,65,47
Silver Banshee,Siobhan McDougal,,Bad,DC Comics,75,15,75,75,100,70,68
Silver Samurai (FOX),Ichirō Yashida,Ichirō Yashida,Bad,Marvel Comics,90,60,30,80,75,85,70
Silver Surfer,Norrin Radd,Norrin Radd,Good,Marvel Comics,80,100,100,90,100,30,83
Silverclaw,Maria de Guadalupe Santiago,Maria de Guadalupe Santiago,Good,Marvel Comics,75,30,35,40,35,40,43
Sinestro,Thaal Sinestro,Thaal Sinestro,Neutral,DC Comics,90,85,55,65,100,55,75
Siren II,La Sirene la Bailene,La Sirene la Bailene,Bad,DC Comics,0,0,0,0,5,0,1
Sirius Black,Sirius Black,,Good,J. K. Rowling,90,10,20,20,100,90,55
Siryn,Theresa Rourke Cassidy,Theresa Rourke Cassidy,Bad,Marvel Comics,70,10,45,30,50,40,41
Skaar,,,Good,Marvel Comics,85,100,85,100,100,85,93
Solid Snake,David Hayter,,Good,Nintendo,100,80,50,50,100,100,80
Skales Jr,Skales Jr,Skales Jr,Good,,85,10,25,25,100,25,45
Skales,Skales,Skales,Neutral,,100,60,65,80,100,85,82
Skalidor,Skalidor,,Neutral,,60,85,50,80,100,80,76
Skeletor,Keldor,Keldor,Bad,Mattel,100,95,100,75,100,85,93
Solomon Grundy,Cyrus Gold,Cyrus Gold,Bad,DC Comics,55,95,15,100,90,30,64
Skids,Sally Blevins,Sally Blevins,Good,Marvel Comics,0,0,0,0,0,0,0
Slapstick,Steve Harmon,Steve Harmon,Good,Marvel Comics,0,0,0,0,0,0,0
Slenderman,The Slender Man,The Slender Man,Bad,,100,20,100,100,100,50,78
Snake-Eyes,,,Bad,Marvel Comics,0,0,0,0,0,0,0
Snowbird,Narya,Narya,Good,Marvel Comics,75,30,25,40,70,50,48
Soranik Natu,Soranik Sinestro,,Neutral,DC Comics,80,90,50,55,100,55,72
Solomon Kane,Solomon Kane,,Good,Dark Horse Comics,70,15,30,45,50,55,44
Solovar,Solovar,,Good,DC Comics,90,50,40,70,100,100,75
Songbird,Melissa Joan Gold,Melissa Joan Gold,Good,Marvel Comics,90,35,25,40,55,55,50
Sonic The Hedgehog,Sonic,Olgilvie Maurice Hedgehog,Good,Sega,75,50,100,75,100,55,76
Sonya Blade,,,Good,Mortal Kombat,80,15,65,50,55,100,61
Soundwave,Soundwave,Soundwave,Bad,Hasbro,100,80,65,95,80,95,86
Space Ghost,Thaddeus Bach,Thaddeus Bach,Good,DC Comics,70,20,35,40,95,80,57
Spartan,John Diggle,John Thomas Diggle,Good,DC Comics,85,15,35,45,50,95,54
Spawn,Al Simmons,Al Simmons,Good,Image Comics,90,70,50,100,100,100,85
Spectre Oversoul,Aztar,Aztar,Good,DC Comics,100,100,100,100,100,80,97
Speedball,Robert Baldwin,Robert Baldwin,Good,Marvel Comics,0,0,0,0,15,0,3
Speedy,Thea Queen,Thea Dearden Queen,Good,DC Comics,75,5,35,20,25,70,38
Spider-Gwen,Gwen Stacy,Gwendolyne Stacy,Good,Marvel Comics,90,55,65,70,65,70,69
Spider-Ham,Peter Porker,,Good,Marvel Comics,90,40,60,55,60,100,68
Spider-Man (Black) (Raimi),Peter Benjamin Parker,Peter Benjamin Parker,Good,Marvel Comics,90,55,65,70,70,80,72
Spider-Man Noir,Peter Parker,,Good,Marvel Comics,100,55,70,75,75,95,78
Spider-Man (Ultimate),Peter Parker,Peter Benjamin Parker,Good,Marvel Comics,85,40,60,55,100,50,65
Spider-Woman IV,Charlotte Witter,Charlotte Witter,Bad,Marvel Comics,70,65,60,55,65,60,63
Spider-Woman,Jessica Drew,Jessica Drew,Good,Marvel Comics,80,40,40,60,70,70,60
Spike,William Pratt,William Pratt,Neutral,Dark Horse Comics,100,15,50,65,100,100,72
Spitfire,Jacqueline Falsworth,,Good,Marvel Comics,90,30,90,60,45,100,69
Splice,Unknown,Unknown,Bad,Marvel Comics,0,0,0,0,0,0,0
Spock,S'chn T'gai Spock,,Good,Star Trek,90,20,15,40,55,40,43
Sportsmaster,Lawrence Crock,Lawrence Crock,Bad,DC Comics,80,10,20,40,35,95,47
Spyke,Evan Daniels,Evan Daniels,Good,Marvel Comics,75,10,15,60,50,30,40
Stan Pines,Stanley Pines,,Good,Disney,100,10,20,60,55,75,53
Star-Lord (Celestial Power MCU),Peter Quill,Peter Jason Quill,Good,Marvel Comics,85,70,65,100,100,85,84
Star-Lord,Peter Quill,Peter Jason Quill,Good,Marvel Comics,85,20,35,50,25,70,48
